Designator,Mid X,Mid Y,Rotation,Layer
C1,118.5566,-103.0347,90.0,bottom
C10,121.2342,-103.0224,90.0,bottom
C11,123.825,-99.0854,90.0,bottom
C12,124.968,-99.0854,90.0,bottom
C17,135.9662,-117.8052,90.0,top
C18,113.5888,-97.3074,180.0,top
C19,141.1224,-117.8306,270.0,top
C2,119.8266,-113.2963,270.0,bottom
C20,129.949,-124.896,180.0,bottom
C21,129.9464,-123.8546,180.0,bottom
C22,137.5664,-117.8052,90.0,top
C23,116.443,-95.4934,90.0,top
C24,115.3,-95.4934,90.0,top
C25,139.7,-114.427,0.0,bottom
C26,141.605,-112.014,90.0,bottom
C3,113.4258,-108.9275,0.0,bottom
C4,123.2502,-105.3486,90.0,bottom
C5,110.6518,-107.9394,0.0,bottom
C6,116.2986,-103.5427,0.0,bottom
C7,118.7598,-113.9059,270.0,bottom
C8,117.5406,-102.0695,90.0,bottom
C9,120.2182,-101.2444,90.0,bottom
D1,130.6068,-120.7008,90.0,top
J12,134.5262,-100.2538,90.0,bottom
J13,125.73,-120.832,180.0,bottom
J2,115.651364,-123.942,0.0,top
J7,138.5918,-121.285,0.0,top
Q3,120.3087,-125.1978,180.0,bottom
R1,115.9658,-113.7535,0.0,bottom
R10,132.969,-116.967,180.0,top
R12,115.8588,-97.3222,0.0,top
R13,117.906364,-118.4656,0.0,top
R14,118.0084,-124.5922,90.0,bottom
R15,111.091364,-118.8478,180.0,top
R16,122.9868,-124.2864,0.0,bottom
R17,140.9466,-111.2266,180.0,top
R2,117.348,-126.547,90.0,bottom
R25,123.5042,-114.3254,180.0,top
R26,137.779,-106.1614,0.0,top
R27,137.779,-104.8914,0.0,top
R28,137.779,-103.6214,0.0,top
R29,137.779,-102.3514,0.0,top
R30,137.779,-101.0814,0.0,top
R31,133.3246,-115.0366,0.0,top
R9,131.0914,-122.8344,0.0,top
SW1,114.7826,-100.1776,270.0,top
SW2,138.3284,-112.8268,270.0,top
U1,118.5566,-108.184,270.0,bottom
U2,139.446,-112.014,270.0,bottom
U3,126.836,-100.022,0.0,top
U4,133.3246,-119.9134,90.0,top
U5,139.3422,-117.9926,180.0,top
